"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"02.01.2021 13:15 - 02.01.2021 13:30","52472","53044"
"02.01.2021 13:30 - 02.01.2021 13:45","52291","52984"
"02.01.2021 13:45 - 02.01.2021 14:00","52180","52752"
"02.01.2021 14:00 - 02.01.2021 14:15","52188","52937"
"02.01.2021 14:15 - 02.01.2021 14:30","52097","53059"
"02.01.2021 14:30 - 02.01.2021 14:45","52322","53220"
"02.01.2021 14:45 - 02.01.2021 15:00","52545","53227"
"02.01.2021 15:00 - 02.01.2021 15:15","52857","53824"
"02.01.2021 15:15 - 02.01.2021 15:30","53389","54380"
"02.01.2021 15:30 - 02.01.2021 15:45","54095","55324"
"02.01.2021 15:45 - 02.01.2021 16:00","55012","56160"
"02.01.2021 16:00 - 02.01.2021 16:15","56047","57259"
"02.01.2021 16:15 - 02.01.2021 16:30","56620","57753"
"02.01.2021 16:30 - 02.01.2021 16:45","57060","58386"
"02.01.2021 16:45 - 02.01.2021 17:00","57475","58544"
"02.01.2021 17:00 - 02.01.2021 17:15","57628","58537"
"02.01.2021 17:15 - 02.01.2021 17:30","57096","58502"
"02.01.2021 17:30 - 02.01.2021 17:45","56923","58251"
"02.01.2021 17:45 - 02.01.2021 18:00","56468","57862"
"02.01.2021 18:00 - 02.01.2021 18:15","56178","57256"
"02.01.2021 18:15 - 02.01.2021 18:30","55599","56891"
"02.01.2021 18:30 - 02.01.2021 18:45","54920","56312"
"02.01.2021 18:45 - 02.01.2021 19:00","54428","55558"
"02.01.2021 19:00 - 02.01.2021 19:15","53630","54407"
"02.01.2021 19:15 - 02.01.2021 19:30","52297","53425"
"02.01.2021 19:30 - 02.01.2021 19:45","51217","52667"
"02.01.2021 19:45 - 02.01.2021 20:00","50592","51785"
"02.01.2021 20:00 - 02.01.2021 20:15","50296","51353"
"02.01.2021 20:15 - 02.01.2021 20:30","49598","50873"
"02.01.2021 20:30 - 02.01.2021 20:45","49176","50404"
"02.01.2021 20:45 - 02.01.2021 21:00","48814","50114"
"02.01.2021 21:00 - 02.01.2021 21:15","49327","50698"
"02.01.2021 21:15 - 02.01.2021 21:30","48774","50224"
"02.01.2021 21:30 - 02.01.2021 21:45","48163","49526"
"02.01.2021 21:45 - 02.01.2021 22:00","47442","49047"
"02.01.2021 22:00 - 02.01.2021 22:15","46544","48693"
"02.01.2021 22:15 - 02.01.2021 22:30","45924","48114"
"02.01.2021 22:30 - 02.01.2021 22:45","45217","47806"
"02.01.2021 22:45 - 02.01.2021 23:00","44643","47239"
"02.01.2021 23:00 - 02.01.2021 23:15","43275","45973"
"02.01.2021 23:15 - 02.01.2021 23:30","42692","45170"
"02.01.2021 23:30 - 02.01.2021 23:45","42157","44621"
"02.01.2021 23:45 - 03.01.2021 00:00","41790","44146"
"03.01.2021 00:00 - 03.01.2021 00:15","41117","43688"
"03.01.2021 00:15 - 03.01.2021 00:30","40573","43078"
"03.01.2021 00:30 - 03.01.2021 00:45","40019","42604"
"03.01.2021 00:45 - 03.01.2021 01:00","39661","42364"
"03.01.2021 01:00 - 03.01.2021 01:15","39765","42061"
"03.01.2021 01:15 - 03.01.2021 01:30","39615","41825"
"03.01.2021 01:30 - 03.01.2021 01:45","39287","41642"
"03.01.2021 01:45 - 03.01.2021 02:00","39201","41637"
"03.01.2021 02:00 - 03.01.2021 02:15","39180","41722"
"03.01.2021 02:15 - 03.01.2021 02:30","39280","41822"
"03.01.2021 02:30 - 03.01.2021 02:45","38968","41947"
"03.01.2021 02:45 - 03.01.2021 03:00","39101","41961"
"03.01.2021 03:00 - 03.01.2021 03:15","39008","42248"
"03.01.2021 03:15 - 03.01.2021 03:30","39008","42261"
"03.01.2021 03:30 - 03.01.2021 03:45","38938","42386"
"03.01.2021 03:45 - 03.01.2021 04:00","38935","42571"
"03.01.2021 04:00 - 03.01.2021 04:15","38951","43073"
"03.01.2021 04:15 - 03.01.2021 04:30","38616","42945"
"03.01.2021 04:30 - 03.01.2021 04:45","38629","43027"
"03.01.2021 04:45 - 03.01.2021 05:00","38257","42789"
"03.01.2021 05:00 - 03.01.2021 05:15","38013","42581"
"03.01.2021 05:15 - 03.01.2021 05:30","37845","42777"
"03.01.2021 05:30 - 03.01.2021 05:45","38157","42983"
"03.01.2021 05:45 - 03.01.2021 06:00","38077","43265"
"03.01.2021 06:00 - 03.01.2021 06:15","38381","43668"
"03.01.2021 06:15 - 03.01.2021 06:30","38688","43792"
"03.01.2021 06:30 - 03.01.2021 06:45","39084","44237"
"03.01.2021 06:45 - 03.01.2021 07:00","39802","45004"
"03.01.2021 07:00 - 03.01.2021 07:15","40598","46010"
"03.01.2021 07:15 - 03.01.2021 07:30","41079","46819"
"03.01.2021 07:30 - 03.01.2021 07:45","41881","47262"
"03.01.2021 07:45 - 03.01.2021 08:00","42765","48075"
"03.01.2021 08:00 - 03.01.2021 08:15","43538","49140"
"03.01.2021 08:15 - 03.01.2021 08:30","44610","50058"
"03.01.2021 08:30 - 03.01.2021 08:45","45355","50908"
"03.01.2021 08:45 - 03.01.2021 09:00","45743","51531"
"03.01.2021 09:00 - 03.01.2021 09:15","46733","52063"
"03.01.2021 09:15 - 03.01.2021 09:30","47728","52946"
"03.01.2021 09:30 - 03.01.2021 09:45","48165","53599"
"03.01.2021 09:45 - 03.01.2021 10:00","48638","54327"
"03.01.2021 10:00 - 03.01.2021 10:15","49379","55514"
"03.01.2021 10:15 - 03.01.2021 10:30","50290","56304"
"03.01.2021 10:30 - 03.01.2021 10:45","50770","57071"
"03.01.2021 10:45 - 03.01.2021 11:00","50966","57393"
"03.01.2021 11:00 - 03.01.2021 11:15","51174","57407"
"03.01.2021 11:15 - 03.01.2021 11:30","51129","57275"
"03.01.2021 11:30 - 03.01.2021 11:45","50524","57150"
"03.01.2021 11:45 - 03.01.2021 12:00","50062","56895"
"03.01.2021 12:00 - 03.01.2021 12:15","49881","56668"
"03.01.2021 12:15 - 03.01.2021 12:30","49688","56513"
"03.01.2021 12:30 - 03.01.2021 12:45","49285","56210"
"03.01.2021 12:45 - 03.01.2021 13:00","48601","55784"
"03.01.2021 13:00 - 03.01.2021 13:15","48243","55297"
"03.01.2021 13:15 - 03.01.2021 13:30","47990","55013"
"03.01.2021 13:30 - 03.01.2021 13:45","47585","55084"
"03.01.2021 13:45 - 03.01.2021 14:00","47762","54950"
"03.01.2021 14:00 - 03.01.2021 14:15","47482","55491"
"03.01.2021 14:15 - 03.01.2021 14:30","47555","55366"
"03.01.2021 14:30 - 03.01.2021 14:45","47594","55499"
"03.01.2021 14:45 - 03.01.2021 15:00","47767","55444"
"03.01.2021 15:00 - 03.01.2021 15:15","47791","55537"
"03.01.2021 15:15 - 03.01.2021 15:30","48383","56343"
"03.01.2021 15:30 - 03.01.2021 15:45","49298","57195"
"03.01.2021 15:45 - 03.01.2021 16:00","50327","57968"
"03.01.2021 16:00 - 03.01.2021 16:15","51396","59144"
"03.01.2021 16:15 - 03.01.2021 16:30","52185","60056"
"03.01.2021 16:30 - 03.01.2021 16:45","53034","60274"
"03.01.2021 16:45 - 03.01.2021 17:00","53293","60189"
"03.01.2021 17:00 - 03.01.2021 17:15","53815","60174"
