"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"13.06.2021 04:00 - 13.06.2021 04:15","36312","39685"
"13.06.2021 04:15 - 13.06.2021 04:30","36768","39932"
"13.06.2021 04:30 - 13.06.2021 04:45","37260","40149"
"13.06.2021 04:45 - 13.06.2021 05:00","38071","40501"
"13.06.2021 05:00 - 13.06.2021 05:15","38719","41200"
"13.06.2021 05:15 - 13.06.2021 05:30","39353","41747"
"13.06.2021 05:30 - 13.06.2021 05:45","40138","42594"
"13.06.2021 05:45 - 13.06.2021 06:00","41061","43762"
"13.06.2021 06:00 - 13.06.2021 06:15","42114","44478"
"13.06.2021 06:15 - 13.06.2021 06:30","43357","45632"
"13.06.2021 06:30 - 13.06.2021 06:45","44327","46384"
"13.06.2021 06:45 - 13.06.2021 07:00","45349","46927"
"13.06.2021 07:00 - 13.06.2021 07:15","46340","47510"
"13.06.2021 07:15 - 13.06.2021 07:30","47482","48201"
"13.06.2021 07:30 - 13.06.2021 07:45","48040","48794"
"13.06.2021 07:45 - 13.06.2021 08:00","48851","49318"
"13.06.2021 08:00 - 13.06.2021 08:15","49445","50315"
"13.06.2021 08:15 - 13.06.2021 08:30","49917","50754"
"13.06.2021 08:30 - 13.06.2021 08:45","50712","51390"
"13.06.2021 08:45 - 13.06.2021 09:00","51452","51457"
"13.06.2021 09:00 - 13.06.2021 09:15","52375","51938"
"13.06.2021 09:15 - 13.06.2021 09:30","53089","52455"
"13.06.2021 09:30 - 13.06.2021 09:45","53652","52857"
"13.06.2021 09:45 - 13.06.2021 10:00","53865","52941"
"13.06.2021 10:00 - 13.06.2021 10:15","53604","52454"
"13.06.2021 10:15 - 13.06.2021 10:30","53641","52103"
"13.06.2021 10:30 - 13.06.2021 10:45","53370","51865"
"13.06.2021 10:45 - 13.06.2021 11:00","52878","51224"
"13.06.2021 11:00 - 13.06.2021 11:15","52058","50477"
"13.06.2021 11:15 - 13.06.2021 11:30","51360","49887"
"13.06.2021 11:30 - 13.06.2021 11:45","50807","49491"
"13.06.2021 11:45 - 13.06.2021 12:00","50375","48974"
"13.06.2021 12:00 - 13.06.2021 12:15","49997","48612"
"13.06.2021 12:15 - 13.06.2021 12:30","49601","48442"
"13.06.2021 12:30 - 13.06.2021 12:45","49252","47810"
"13.06.2021 12:45 - 13.06.2021 13:00","48911","47664"
"13.06.2021 13:00 - 13.06.2021 13:15","48900","47961"
"13.06.2021 13:15 - 13.06.2021 13:30","48740","47713"
"13.06.2021 13:30 - 13.06.2021 13:45","48336","47412"
"13.06.2021 13:45 - 13.06.2021 14:00","47914","47225"
"13.06.2021 14:00 - 13.06.2021 14:15","48039","47287"
"13.06.2021 14:15 - 13.06.2021 14:30","47920","46939"
"13.06.2021 14:30 - 13.06.2021 14:45","47953","47134"
"13.06.2021 14:45 - 13.06.2021 15:00","48190","47165"
"13.06.2021 15:00 - 13.06.2021 15:15","48744","48066"
"13.06.2021 15:15 - 13.06.2021 15:30","48888","48251"
"13.06.2021 15:30 - 13.06.2021 15:45","49266","48593"
"13.06.2021 15:45 - 13.06.2021 16:00","49470","48534"
"13.06.2021 16:00 - 13.06.2021 16:15","49730","49707"
"13.06.2021 16:15 - 13.06.2021 16:30","49436","49820"
"13.06.2021 16:30 - 13.06.2021 16:45","49442","49545"
"13.06.2021 16:45 - 13.06.2021 17:00","49245","49410"
"13.06.2021 17:00 - 13.06.2021 17:15","49493","50241"
"13.06.2021 17:15 - 13.06.2021 17:30","48963","49908"
"13.06.2021 17:30 - 13.06.2021 17:45","48850","49592"
"13.06.2021 17:45 - 13.06.2021 18:00","48648","49548"
"13.06.2021 18:00 - 13.06.2021 18:15","48437","49816"
"13.06.2021 18:15 - 13.06.2021 18:30","48079","49670"
"13.06.2021 18:30 - 13.06.2021 18:45","47777","49193"
"13.06.2021 18:45 - 13.06.2021 19:00","47307","48996"
"13.06.2021 19:00 - 13.06.2021 19:15","47000","48637"
"13.06.2021 19:15 - 13.06.2021 19:30","46860","48190"
"13.06.2021 19:30 - 13.06.2021 19:45","47107","48191"
"13.06.2021 19:45 - 13.06.2021 20:00","47240","48610"
"13.06.2021 20:00 - 13.06.2021 20:15","47217","49292"
"13.06.2021 20:15 - 13.06.2021 20:30","47028","49218"
"13.06.2021 20:30 - 13.06.2021 20:45","46398","48608"
"13.06.2021 20:45 - 13.06.2021 21:00","45920","48031"
"13.06.2021 21:00 - 13.06.2021 21:15","45137","46969"
"13.06.2021 21:15 - 13.06.2021 21:30","44456","46010"
"13.06.2021 21:30 - 13.06.2021 21:45","43948","45437"
"13.06.2021 21:45 - 13.06.2021 22:00","43447","44416"
"13.06.2021 22:00 - 13.06.2021 22:15","42758","43673"
"13.06.2021 22:15 - 13.06.2021 22:30","42367","43183"
"13.06.2021 22:30 - 13.06.2021 22:45","42231","42972"
"13.06.2021 22:45 - 13.06.2021 23:00","41918","42714"
"13.06.2021 23:00 - 13.06.2021 23:15","41347","41757"
"13.06.2021 23:15 - 13.06.2021 23:30","41189","41528"
"13.06.2021 23:30 - 13.06.2021 23:45","40745","41365"
"13.06.2021 23:45 - 14.06.2021 00:00","40497","41053"
"14.06.2021 00:00 - 14.06.2021 00:15","40132","40836"
"14.06.2021 00:15 - 14.06.2021 00:30","40173","40700"
"14.06.2021 00:30 - 14.06.2021 00:45","40046","40603"
"14.06.2021 00:45 - 14.06.2021 01:00","40097","40695"
"14.06.2021 01:00 - 14.06.2021 01:15","40046","40765"
"14.06.2021 01:15 - 14.06.2021 01:30","40063","40655"
"14.06.2021 01:30 - 14.06.2021 01:45","40198","40731"
"14.06.2021 01:45 - 14.06.2021 02:00","40345","40649"
"14.06.2021 02:00 - 14.06.2021 02:15","41097","41439"
"14.06.2021 02:15 - 14.06.2021 02:30","41546","41641"
"14.06.2021 02:30 - 14.06.2021 02:45","42117","41979"
"14.06.2021 02:45 - 14.06.2021 03:00","42619","42516"
"14.06.2021 03:00 - 14.06.2021 03:15","43799","43734"
"14.06.2021 03:15 - 14.06.2021 03:30","42921","44336"
"14.06.2021 03:30 - 14.06.2021 03:45","43223","45601"
"14.06.2021 03:45 - 14.06.2021 04:00","44864","47410"
"14.06.2021 04:00 - 14.06.2021 04:15","47094","50603"
"14.06.2021 04:15 - 14.06.2021 04:30","49571","52656"
"14.06.2021 04:30 - 14.06.2021 04:45","51675","53884"
"14.06.2021 04:45 - 14.06.2021 05:00","53476","55292"
"14.06.2021 05:00 - 14.06.2021 05:15","55628","56989"
"14.06.2021 05:15 - 14.06.2021 05:30","57106","58252"
"14.06.2021 05:30 - 14.06.2021 05:45","58277","59547"
"14.06.2021 05:45 - 14.06.2021 06:00","59484","60827"
"14.06.2021 06:00 - 14.06.2021 06:15","60203","62057"
"14.06.2021 06:15 - 14.06.2021 06:30","61083","63085"
"14.06.2021 06:30 - 14.06.2021 06:45","61877","63419"
"14.06.2021 06:45 - 14.06.2021 07:00","62427","64059"
"14.06.2021 07:00 - 14.06.2021 07:15","62539","63645"
"14.06.2021 07:15 - 14.06.2021 07:30","63083","64046"
"14.06.2021 07:30 - 14.06.2021 07:45","63708","64315"
"14.06.2021 07:45 - 14.06.2021 08:00","64334","64915"
"14.06.2021 08:00 - 14.06.2021 08:15","64442","64922"
"14.06.2021 08:15 - 14.06.2021 08:30","64617","65298"
"14.06.2021 08:30 - 14.06.2021 08:45","65186","65713"
"14.06.2021 08:45 - 14.06.2021 09:00","65717","66035"
"14.06.2021 09:00 - 14.06.2021 09:15","66086","66103"
"14.06.2021 09:15 - 14.06.2021 09:30","66573","66511"
"14.06.2021 09:30 - 14.06.2021 09:45","67090","66618"
"14.06.2021 09:45 - 14.06.2021 10:00","67457","66889"
"14.06.2021 10:00 - 14.06.2021 10:15","67249","66309"
"14.06.2021 10:15 - 14.06.2021 10:30","67214","66350"
"14.06.2021 10:30 - 14.06.2021 10:45","67327","66299"
"14.06.2021 10:45 - 14.06.2021 11:00","67068","66253"
"14.06.2021 11:00 - 14.06.2021 11:15","66758","66270"
"14.06.2021 11:15 - 14.06.2021 11:30","66489","66046"
"14.06.2021 11:30 - 14.06.2021 11:45","65966","65685"
"14.06.2021 11:45 - 14.06.2021 12:00","65490","65172"
"14.06.2021 12:00 - 14.06.2021 12:15","65180","64464"
"14.06.2021 12:15 - 14.06.2021 12:30","65011","64478"
"14.06.2021 12:30 - 14.06.2021 12:45","64804","64231"
"14.06.2021 12:45 - 14.06.2021 13:00","64490","64181"
"14.06.2021 13:00 - 14.06.2021 13:15","64433","64147"
"14.06.2021 13:15 - 14.06.2021 13:30","64290","63605"
"14.06.2021 13:30 - 14.06.2021 13:45","63850","63170"
"14.06.2021 13:45 - 14.06.2021 14:00","63319","62823"
"14.06.2021 14:00 - 14.06.2021 14:15","63144","62951"
"14.06.2021 14:15 - 14.06.2021 14:30","62673","62501"
"14.06.2021 14:30 - 14.06.2021 14:45","62386","62425"
"14.06.2021 14:45 - 14.06.2021 15:00","62148","62264"
"14.06.2021 15:00 - 14.06.2021 15:15","62430","62604"
"14.06.2021 15:15 - 14.06.2021 15:30","62366","62096"
"14.06.2021 15:30 - 14.06.2021 15:45","62030","62385"
"14.06.2021 15:45 - 14.06.2021 16:00","61952","62618"
"14.06.2021 16:00 - 14.06.2021 16:15","62100","62800"
"14.06.2021 16:15 - 14.06.2021 16:30","61623","62946"
"14.06.2021 16:30 - 14.06.2021 16:45","61218","62504"
"14.06.2021 16:45 - 14.06.2021 17:00","61133","62243"
"14.06.2021 17:00 - 14.06.2021 17:15","61385","62226"
"14.06.2021 17:15 - 14.06.2021 17:30","60724","61978"
"14.06.2021 17:30 - 14.06.2021 17:45","60487","61729"
"14.06.2021 17:45 - 14.06.2021 18:00","60099","61093"
"14.06.2021 18:00 - 14.06.2021 18:15","59594","60437"
"14.06.2021 18:15 - 14.06.2021 18:30","58761","59898"
"14.06.2021 18:30 - 14.06.2021 18:45","58096","59192"
"14.06.2021 18:45 - 14.06.2021 19:00","57644","58749"
"14.06.2021 19:00 - 14.06.2021 19:15","56967","58217"
"14.06.2021 19:15 - 14.06.2021 19:30","56640","57710"
"14.06.2021 19:30 - 14.06.2021 19:45","56299","57342"
"14.06.2021 19:45 - 14.06.2021 20:00","55882","57056"
"14.06.2021 20:00 - 14.06.2021 20:15","55155","56424"
"14.06.2021 20:15 - 14.06.2021 20:30","54496","55582"
"14.06.2021 20:30 - 14.06.2021 20:45","53607","54789"
"14.06.2021 20:45 - 14.06.2021 21:00","52753","54030"
"14.06.2021 21:00 - 14.06.2021 21:15","51336","52741"
"14.06.2021 21:15 - 14.06.2021 21:30","50531","51655"
"14.06.2021 21:30 - 14.06.2021 21:45","49751","51018"
"14.06.2021 21:45 - 14.06.2021 22:00","49138","50122"
"14.06.2021 22:00 - 14.06.2021 22:15","46409","48927"
"14.06.2021 22:15 - 14.06.2021 22:30","46038","48222"
"14.06.2021 22:30 - 14.06.2021 22:45","45654","47876"
"14.06.2021 22:45 - 14.06.2021 23:00","45371","47490"
"14.06.2021 23:00 - 14.06.2021 23:15","44487","46927"
"14.06.2021 23:15 - 14.06.2021 23:30","44451","46669"
"14.06.2021 23:30 - 14.06.2021 23:45","44306","46432"
"14.06.2021 23:45 - 15.06.2021 00:00","44014","46095"
"15.06.2021 00:00 - 15.06.2021 00:15","43757","45561"
"15.06.2021 00:15 - 15.06.2021 00:30","43737","45684"
"15.06.2021 00:30 - 15.06.2021 00:45","43540","45630"
"15.06.2021 00:45 - 15.06.2021 01:00","43598","45711"
"15.06.2021 01:00 - 15.06.2021 01:15","43523","45919"
"15.06.2021 01:15 - 15.06.2021 01:30","43638","45688"
"15.06.2021 01:30 - 15.06.2021 01:45","43720","45755"
"15.06.2021 01:45 - 15.06.2021 02:00","43759","46052"
"15.06.2021 02:00 - 15.06.2021 02:15","44479","46496"
"15.06.2021 02:15 - 15.06.2021 02:30","44790","46576"
"15.06.2021 02:30 - 15.06.2021 02:45","45122","46551"
"15.06.2021 02:45 - 15.06.2021 03:00","45602","46930"
"15.06.2021 03:00 - 15.06.2021 03:15","46787","48060"
"15.06.2021 03:15 - 15.06.2021 03:30","46222","48238"
"15.06.2021 03:30 - 15.06.2021 03:45","46664","49653"
"15.06.2021 03:45 - 15.06.2021 04:00","48383","51216"
"15.06.2021 04:00 - 15.06.2021 04:15","50826","53828"
"15.06.2021 04:15 - 15.06.2021 04:30","52837","55668"
"15.06.2021 04:30 - 15.06.2021 04:45","54327","56940"
"15.06.2021 04:45 - 15.06.2021 05:00","55919","58340"
"15.06.2021 05:00 - 15.06.2021 05:15","58078","59990"
"15.06.2021 05:15 - 15.06.2021 05:30","59056","61386"
"15.06.2021 05:30 - 15.06.2021 05:45","60262","62433"
"15.06.2021 05:45 - 15.06.2021 06:00","61365","63538"
"15.06.2021 06:00 - 15.06.2021 06:15","62076","64209"
"15.06.2021 06:15 - 15.06.2021 06:30","62920","64800"
"15.06.2021 06:30 - 15.06.2021 06:45","63624","65246"
"15.06.2021 06:45 - 15.06.2021 07:00","64178","65954"
"15.06.2021 07:00 - 15.06.2021 07:15","64290","65464"
"15.06.2021 07:15 - 15.06.2021 07:30","64731","65710"
"15.06.2021 07:30 - 15.06.2021 07:45","65474","66268"
"15.06.2021 07:45 - 15.06.2021 08:00","66109","66607"
"15.06.2021 08:00 - 15.06.2021 08:15","66187","66365"
"15.06.2021 08:15 - 15.06.2021 08:30","66542","66383"
"15.06.2021 08:30 - 15.06.2021 08:45","67099","66823"
"15.06.2021 08:45 - 15.06.2021 09:00","67612","66987"
"15.06.2021 09:00 - 15.06.2021 09:15","67846","67272"
"15.06.2021 09:15 - 15.06.2021 09:30","68282","67601"
"15.06.2021 09:30 - 15.06.2021 09:45","68857","68218"
"15.06.2021 09:45 - 15.06.2021 10:00","69267","68535"
"15.06.2021 10:00 - 15.06.2021 10:15","69005","67861"
"15.06.2021 10:15 - 15.06.2021 10:30","68806","68117"
"15.06.2021 10:30 - 15.06.2021 10:45","68918","68192"
"15.06.2021 10:45 - 15.06.2021 11:00","68711","67736"
"15.06.2021 11:00 - 15.06.2021 11:15","68264","67529"
"15.06.2021 11:15 - 15.06.2021 11:30","68030","66913"
"15.06.2021 11:30 - 15.06.2021 11:45","67455","66757"
"15.06.2021 11:45 - 15.06.2021 12:00","66968","66051"
"15.06.2021 12:00 - 15.06.2021 12:15","66664","65716"
"15.06.2021 12:15 - 15.06.2021 12:30","66413","65949"
"15.06.2021 12:30 - 15.06.2021 12:45","66178","65674"
"15.06.2021 12:45 - 15.06.2021 13:00","65900","65290"
"15.06.2021 13:00 - 15.06.2021 13:15","65653","65173"
"15.06.2021 13:15 - 15.06.2021 13:30","65302","65039"
"15.06.2021 13:30 - 15.06.2021 13:45","64697","64756"
"15.06.2021 13:45 - 15.06.2021 14:00","64247","64423"
"15.06.2021 14:00 - 15.06.2021 14:15","64003","64331"
"15.06.2021 14:15 - 15.06.2021 14:30","63521","63823"
"15.06.2021 14:30 - 15.06.2021 14:45","63173","63503"
"15.06.2021 14:45 - 15.06.2021 15:00","62881","63386"
"15.06.2021 15:00 - 15.06.2021 15:15","63116","63832"
"15.06.2021 15:15 - 15.06.2021 15:30","63126","63563"
"15.06.2021 15:30 - 15.06.2021 15:45","62830","63698"
"15.06.2021 15:45 - 15.06.2021 16:00","62820","63999"
"15.06.2021 16:00 - 15.06.2021 16:15","62849","63717"
"15.06.2021 16:15 - 15.06.2021 16:30","62423","63345"
"15.06.2021 16:30 - 15.06.2021 16:45","61877","63303"
"15.06.2021 16:45 - 15.06.2021 17:00","61852","63243"
"15.06.2021 17:00 - 15.06.2021 17:15","61980","63062"
"15.06.2021 17:15 - 15.06.2021 17:30","61166","62435"
"15.06.2021 17:30 - 15.06.2021 17:45","60880","62014"
"15.06.2021 17:45 - 15.06.2021 18:00","60509","61518"
"15.06.2021 18:00 - 15.06.2021 18:15","59893","60987"
"15.06.2021 18:15 - 15.06.2021 18:30","59168","60623"
"15.06.2021 18:30 - 15.06.2021 18:45","58582","60199"
"15.06.2021 18:45 - 15.06.2021 19:00","58030","59416"
"15.06.2021 19:00 - 15.06.2021 19:15","57226","58423"
"15.06.2021 19:15 - 15.06.2021 19:30","56807","57679"
"15.06.2021 19:30 - 15.06.2021 19:45","56538","57099"
"15.06.2021 19:45 - 15.06.2021 20:00","56085","56881"
"15.06.2021 20:00 - 15.06.2021 20:15","55478","56509"
"15.06.2021 20:15 - 15.06.2021 20:30","54900","55885"
"15.06.2021 20:30 - 15.06.2021 20:45","53980","55330"
"15.06.2021 20:45 - 15.06.2021 21:00","53130","54242"
"15.06.2021 21:00 - 15.06.2021 21:15","51674","53458"
"15.06.2021 21:15 - 15.06.2021 21:30","50783","52590"
"15.06.2021 21:30 - 15.06.2021 21:45","50034","51504"
"15.06.2021 21:45 - 15.06.2021 22:00","49374","50619"
"15.06.2021 22:00 - 15.06.2021 22:15","47703","49765"
"15.06.2021 22:15 - 15.06.2021 22:30","46941","49263"
"15.06.2021 22:30 - 15.06.2021 22:45","46858","48512"
"15.06.2021 22:45 - 15.06.2021 23:00","46445","48059"
"15.06.2021 23:00 - 15.06.2021 23:15","45900","47474"
"15.06.2021 23:15 - 15.06.2021 23:30","45725","46945"
"15.06.2021 23:30 - 15.06.2021 23:45","45498","46422"
"15.06.2021 23:45 - 16.06.2021 00:00","45251","46027"
"16.06.2021 00:00 - 16.06.2021 00:15","44752","46047"
"16.06.2021 00:15 - 16.06.2021 00:30","44694","46170"
"16.06.2021 00:30 - 16.06.2021 00:45","44570","46002"
"16.06.2021 00:45 - 16.06.2021 01:00","44656","45976"
"16.06.2021 01:00 - 16.06.2021 01:15","44453","46138"
"16.06.2021 01:15 - 16.06.2021 01:30","44495","46171"
"16.06.2021 01:30 - 16.06.2021 01:45","44516","46145"
"16.06.2021 01:45 - 16.06.2021 02:00","44634","46119"
"16.06.2021 02:00 - 16.06.2021 02:15","45021","46338"
"16.06.2021 02:15 - 16.06.2021 02:30","45283","46493"
"16.06.2021 02:30 - 16.06.2021 02:45","45736","46763"
"16.06.2021 02:45 - 16.06.2021 03:00","46132","47056"
"16.06.2021 03:00 - 16.06.2021 03:15","47112","48029"
"16.06.2021 03:15 - 16.06.2021 03:30","46208","48420"
"16.06.2021 03:30 - 16.06.2021 03:45","46149","49678"
"16.06.2021 03:45 - 16.06.2021 04:00","47433","51084"
"16.06.2021 04:00 - 16.06.2021 04:15","49780","54062"
"16.06.2021 04:15 - 16.06.2021 04:30","52016","55862"
"16.06.2021 04:30 - 16.06.2021 04:45","53742","57555"
"16.06.2021 04:45 - 16.06.2021 05:00","55493","58823"
"16.06.2021 05:00 - 16.06.2021 05:15","57527","59952"
"16.06.2021 05:15 - 16.06.2021 05:30","58918","61030"
"16.06.2021 05:30 - 16.06.2021 05:45","60140","61991"
"16.06.2021 05:45 - 16.06.2021 06:00","61287","63146"
"16.06.2021 06:00 - 16.06.2021 06:15","62000","63951"
"16.06.2021 06:15 - 16.06.2021 06:30","62967","64369"
"16.06.2021 06:30 - 16.06.2021 06:45","63350","64964"
"16.06.2021 06:45 - 16.06.2021 07:00","63953","65342"
"16.06.2021 07:00 - 16.06.2021 07:15","63824","64955"
"16.06.2021 07:15 - 16.06.2021 07:30","64264","65434"
"16.06.2021 07:30 - 16.06.2021 07:45","64823","66159"
"16.06.2021 07:45 - 16.06.2021 08:00","65592","66485"
"16.06.2021 08:00 - 16.06.2021 08:15","65831","66638"
"16.06.2021 08:15 - 16.06.2021 08:30","66170","66660"
"16.06.2021 08:30 - 16.06.2021 08:45","66879","67040"
"16.06.2021 08:45 - 16.06.2021 09:00","67652","67350"
"16.06.2021 09:00 - 16.06.2021 09:15","68059","67824"
"16.06.2021 09:15 - 16.06.2021 09:30","68656","68230"
"16.06.2021 09:30 - 16.06.2021 09:45","68904","68566"
"16.06.2021 09:45 - 16.06.2021 10:00","69285","68764"
"16.06.2021 10:00 - 16.06.2021 10:15","69105","68040"
"16.06.2021 10:15 - 16.06.2021 10:30","69099","68072"
"16.06.2021 10:30 - 16.06.2021 10:45","69231","68137"
"16.06.2021 10:45 - 16.06.2021 11:00","69074","68068"
"16.06.2021 11:00 - 16.06.2021 11:15","68933","67793"
"16.06.2021 11:15 - 16.06.2021 11:30","68463","67533"
"16.06.2021 11:30 - 16.06.2021 11:45","67830","67016"
"16.06.2021 11:45 - 16.06.2021 12:00","67403","66661"
"16.06.2021 12:00 - 16.06.2021 12:15","67212","66320"
"16.06.2021 12:15 - 16.06.2021 12:30","67030","66417"
"16.06.2021 12:30 - 16.06.2021 12:45","66706","65875"
"16.06.2021 12:45 - 16.06.2021 13:00","66520","65729"
"16.06.2021 13:00 - 16.06.2021 13:15","66117","66046"
"16.06.2021 13:15 - 16.06.2021 13:30","65619","65626"
"16.06.2021 13:30 - 16.06.2021 13:45","64840","65146"
"16.06.2021 13:45 - 16.06.2021 14:00","64106","64954"
"16.06.2021 14:00 - 16.06.2021 14:15","63773","64963"
"16.06.2021 14:15 - 16.06.2021 14:30","63351","64590"
"16.06.2021 14:30 - 16.06.2021 14:45","62893","64158"
"16.06.2021 14:45 - 16.06.2021 15:00","62669","63957"
"16.06.2021 15:00 - 16.06.2021 15:15","63166","64106"
"16.06.2021 15:15 - 16.06.2021 15:30","63110","64419"
"16.06.2021 15:30 - 16.06.2021 15:45","63133","64246"
"16.06.2021 15:45 - 16.06.2021 16:00","62888","64221"
"16.06.2021 16:00 - 16.06.2021 16:15","62966","64254"
"16.06.2021 16:15 - 16.06.2021 16:30","62692","64028"
"16.06.2021 16:30 - 16.06.2021 16:45","62220","63964"
"16.06.2021 16:45 - 16.06.2021 17:00","62100","64026"
"16.06.2021 17:00 - 16.06.2021 17:15","62140","63914"
"16.06.2021 17:15 - 16.06.2021 17:30","61225","63500"
"16.06.2021 17:30 - 16.06.2021 17:45","61047","63250"
"16.06.2021 17:45 - 16.06.2021 18:00","60701","62792"
"16.06.2021 18:00 - 16.06.2021 18:15","60114","62277"
"16.06.2021 18:15 - 16.06.2021 18:30","59353","61607"
"16.06.2021 18:30 - 16.06.2021 18:45","58657","60934"
"16.06.2021 18:45 - 16.06.2021 19:00","57935","60417"
"16.06.2021 19:00 - 16.06.2021 19:15","57183","59914"
"16.06.2021 19:15 - 16.06.2021 19:30","56496","59194"
"16.06.2021 19:30 - 16.06.2021 19:45","56192","58793"
"16.06.2021 19:45 - 16.06.2021 20:00","55676","58599"
"16.06.2021 20:00 - 16.06.2021 20:15","55278","58354"
"16.06.2021 20:15 - 16.06.2021 20:30","54712","58009"
"16.06.2021 20:30 - 16.06.2021 20:45","53759","56977"
"16.06.2021 20:45 - 16.06.2021 21:00","52869","56282"
"16.06.2021 21:00 - 16.06.2021 21:15","51344","55234"
"16.06.2021 21:15 - 16.06.2021 21:30","50536","53924"
"16.06.2021 21:30 - 16.06.2021 21:45","49995","53295"
"16.06.2021 21:45 - 16.06.2021 22:00","49421","52398"
"16.06.2021 22:00 - 16.06.2021 22:15","48461","51378"
"16.06.2021 22:15 - 16.06.2021 22:30","47885","50751"
"16.06.2021 22:30 - 16.06.2021 22:45","47453","50757"
"16.06.2021 22:45 - 16.06.2021 23:00","46901","50396"
"16.06.2021 23:00 - 16.06.2021 23:15","46178","49839"
"16.06.2021 23:15 - 16.06.2021 23:30","45936","49474"
"16.06.2021 23:30 - 16.06.2021 23:45","45825","49105"
"16.06.2021 23:45 - 17.06.2021 00:00","45708","48880"
"17.06.2021 00:00 - 17.06.2021 00:15","45156","48061"
"17.06.2021 00:15 - 17.06.2021 00:30","45328","48178"
"17.06.2021 00:30 - 17.06.2021 00:45","45088","47956"
"17.06.2021 00:45 - 17.06.2021 01:00","44946","47779"
"17.06.2021 01:00 - 17.06.2021 01:15","45129","47838"
"17.06.2021 01:15 - 17.06.2021 01:30","45007","47699"
"17.06.2021 01:30 - 17.06.2021 01:45","45030","47589"
"17.06.2021 01:45 - 17.06.2021 02:00","45075","47740"
"17.06.2021 02:00 - 17.06.2021 02:15","45355","48173"
"17.06.2021 02:15 - 17.06.2021 02:30","45579","48345"
"17.06.2021 02:30 - 17.06.2021 02:45","45949","48481"
"17.06.2021 02:45 - 17.06.2021 03:00","46344","48907"
"17.06.2021 03:00 - 17.06.2021 03:15","47401","49965"
"17.06.2021 03:15 - 17.06.2021 03:30","46386","50526"
"17.06.2021 03:30 - 17.06.2021 03:45","46307","51190"
"17.06.2021 03:45 - 17.06.2021 04:00","47816","52551"
"17.06.2021 04:00 - 17.06.2021 04:15","49971","55736"
"17.06.2021 04:15 - 17.06.2021 04:30","52517","57561"
"17.06.2021 04:30 - 17.06.2021 04:45","54365","58650"
"17.06.2021 04:45 - 17.06.2021 05:00","55780","59849"
"17.06.2021 05:00 - 17.06.2021 05:15","58101","61847"
"17.06.2021 05:15 - 17.06.2021 05:30","58863","62900"
"17.06.2021 05:30 - 17.06.2021 05:45","60171","63885"
"17.06.2021 05:45 - 17.06.2021 06:00","61181","64816"
"17.06.2021 06:00 - 17.06.2021 06:15","62176","65686"
"17.06.2021 06:15 - 17.06.2021 06:30","63031","66654"
"17.06.2021 06:30 - 17.06.2021 06:45","63693","66859"
"17.06.2021 06:45 - 17.06.2021 07:00","64452","67270"
"17.06.2021 07:00 - 17.06.2021 07:15","63963","66855"
"17.06.2021 07:15 - 17.06.2021 07:30","64508","67307"
"17.06.2021 07:30 - 17.06.2021 07:45","65120","67900"
"17.06.2021 07:45 - 17.06.2021 08:00","65858","68842"
"17.06.2021 08:00 - 17.06.2021 08:15","65714","69047"
"17.06.2021 08:15 - 17.06.2021 08:30","65974","69503"
"17.06.2021 08:30 - 17.06.2021 08:45","66550","69803"
"17.06.2021 08:45 - 17.06.2021 09:00","67222","70269"
"17.06.2021 09:00 - 17.06.2021 09:15","67711","70710"
"17.06.2021 09:15 - 17.06.2021 09:30","68206","71038"
"17.06.2021 09:30 - 17.06.2021 09:45","68589","71335"
"17.06.2021 09:45 - 17.06.2021 10:00","68876","71142"
"17.06.2021 10:00 - 17.06.2021 10:15","68559","70634"
"17.06.2021 10:15 - 17.06.2021 10:30","68910","70463"
"17.06.2021 10:30 - 17.06.2021 10:45","68901","71353"
"17.06.2021 10:45 - 17.06.2021 11:00","68712","71381"
"17.06.2021 11:00 - 17.06.2021 11:15","68273","71129"
"17.06.2021 11:15 - 17.06.2021 11:30","67874","70917"
"17.06.2021 11:30 - 17.06.2021 11:45","67615","70487"
"17.06.2021 11:45 - 17.06.2021 12:00","67152","70076"
"17.06.2021 12:00 - 17.06.2021 12:15","66575","70431"
"17.06.2021 12:15 - 17.06.2021 12:30","66406","70202"
"17.06.2021 12:30 - 17.06.2021 12:45","66216","69878"
"17.06.2021 12:45 - 17.06.2021 13:00","65785","69194"
"17.06.2021 13:00 - 17.06.2021 13:15","66068","69254"
"17.06.2021 13:15 - 17.06.2021 13:30","65857","68872"
"17.06.2021 13:30 - 17.06.2021 13:45","65496","68416"
"17.06.2021 13:45 - 17.06.2021 14:00","64867","68251"
"17.06.2021 14:00 - 17.06.2021 14:15","64913","68323"
"17.06.2021 14:15 - 17.06.2021 14:30","64448","67557"
"17.06.2021 14:30 - 17.06.2021 14:45","64088","67450"
"17.06.2021 14:45 - 17.06.2021 15:00","63867","67319"
"17.06.2021 15:00 - 17.06.2021 15:15","63878","67827"
"17.06.2021 15:15 - 17.06.2021 15:30","63592","67458"
"17.06.2021 15:30 - 17.06.2021 15:45","63418","67501"
"17.06.2021 15:45 - 17.06.2021 16:00","63288","67297"
"17.06.2021 16:00 - 17.06.2021 16:15","63180","66804"
"17.06.2021 16:15 - 17.06.2021 16:30","62668","66120"
"17.06.2021 16:30 - 17.06.2021 16:45","62440","65935"
